Restaurant Base URL,Final URL
https://www.theliberties.com/,https://www.theliberties.com/menu/happy-hour
https://www.scopodivino.com/,https://www.scopodivino.com/menu/
https://oshathai.com/embarcadero/,https://oshathai.com/wp-content/uploads/2025/04/2025HH.pdf
https://www.missionrockresort.com/,https://www.missionrockresort.com/menus/
https://eandokitchen.com/,https://eandokitchen.com/san-francisco-union-square-chinatown-eando-kitchen-and-bar-food-menu-754509
https://www.garibaldisrestaurant.com/,https://www.garibaldisrestaurant.com/happy-hour-menu
https://www.teethbarsf.com/,https://www.teethbarsf.com/
https://altamiranosf.com/,https://drive.google.com/file/d/1mTMXWwagFOYFjDTkFkzfJXjDLpcbK13G/view
https://goodgoodcultureclub.com/,https://goodgoodcultureclub.com/pages/happy-hour
https://www.novelasf.com/,https://www.novelasf.com/menu-1
https://www.tropisueno.com,https://www.tropisueno.com/menu#menu=happy-hour-2
https://woodburysf.com,https://menu.smarttab.com/alchemistsf/2/HAPPY%20HOUR%204:00-6:00?filter=all&trending=0
https://internationalsmoke.com/,https://mx.michaelmina.net/recipe-exchange/download/?file_id=37193&nodl=true
https://www.ozumosanfrancisco.com/menus/,https://media-cdn.getbento.com/accounts/fd79cd08080ac3f2cca7a321d255d288/media/J3obi8hkT0qkJVldc91U_Lounge%20Menu%2012.12.25.pdf
https://www.churchillsf.com/,https://www.churchillsf.com/menu
https://www.macondraysf.com/,https://www.macondraysf.com/happy-hour
https://www.zeitgeistsf.com/,https://www.zeitgeistsf.com/happy-hour
https://alchemistsf.com/,https://menu.smarttab.com/alchemistsf/1/HAPPY%20HOUR%204:30-6PM?filter=all&trending=0
https://www.nocnocs.com/,https://www.nocnocs.com/
https://www.sunsetcantinasf.com/,https://www.sunsetcantinasf.com/specials
https://www.atwatertavern.com/menu,https://www.atwatertavern.com/menu
https://www.painasf.com/,https://www.painasf.com/fridays.html
https://www.berettasf.com/?utm_source=yext&utm_medium=gmb,https://www.berettasf.com/valencia/#happy-hour-mission
